user_key,customer_unique_id,first_order_date,customer_state,customer_city
1,0000366f3b9a7992bf8c76cfdf3221e2,2018-05-10 10:56:27,SP,cajamar
2,0000b849f77a49e4a4ce2b2a4ca5be3f,2018-05-07 11:11:27,SP,osasco
3,0000f46a3911fa3c0805444483337064,2017-03-10 21:05:03,SC,sao jose
4,0000f6ccb0745a6a4b88665a16c9f078,2017-10-12 20:29:41,PA,belem
5,0004aac84e0df4da2b147fca70cf8255,2017-11-14 19:45:42,SP,sorocaba
6,0004bd2a26a76fe21f786e4fbd80607f,2018-04-05 19:33:16,SP,sao paulo
7,00050ab1314c0e55a6ca13cf7181fecf,2018-04-20 12:57:23,SP,campinas
8,00053a61a98854899e70ed204dd4bafe,2018-02-28 11:15:41,PR,curitiba
9,0005e1862207bf6ccc02e4228effd9a0,2017-03-04 23:32:12,RJ,teresopolis
10,0005ef4cd20d2893f0d9fbd94d3c0d97,2018-03-12 15:22:12,MA,sao luis
11,0006fdc98a402fceb4eb0ee528f6a8d4,2017-07-18 09:23:10,ES,mimoso do sul
12,00082cbe03e478190aadbea78542e933,2017-11-19 15:22:02,SP,itapeva
13,00090324bbad0e9342388303bb71ba0a,2018-03-24 14:44:41,SP,campinas
14,000949456b182f53c18b68d6babc79c1,2018-04-23 09:55:46,SP,sao bernardo do campo
15,000a5ad9c4601d2bbdd9ed765d5213b3,2017-08-11 13:45:15,RS,porto alegre
16,000bfa1d2f1a41876493be685390d6d3,2017-09-29 14:46:58,SP,santos
17,000c8bdb58a29e7115cfc257230fb21b,2017-12-12 22:53:35,MG,belo horizonte
18,000d460961d6dbfa3ec6c9f5805769e1,2018-01-07 22:59:25,SP,sao paulo
19,000de6019bb59f34c099a907c151d855,2017-08-17 19:10:33,SP,sao sebastiao
20,000e309254ab1fc5ba99dd469d36bdb4,2018-06-25 09:53:57,GO,valparaiso de goias
21,000ec5bff359e1c0ad76a81a45cb598f,2018-08-21 11:34:26,SP,salto de pirapora
22,000ed48ceeb6f4bf8ad021a10a3c7b43,2018-05-20 16:26:06,SP,sao paulo
23,000fbf0473c10fc1ab6f8d2d286ce20c,2018-07-26 09:43:52,SP,indaiatuba
24,0010a452c6d13139e50b57f19f52e04e,2017-07-11 11:22:43,RS,taquara
25,0010fb34b966d44409382af9e8fd5b77,2018-03-05 17:08:53,SP,sao paulo
26,001147e649a7b1afd577e873841632dd,2017-08-31 17:12:56,PR,maringa
27,00115fc7123b5310cf6d3a3aa932699e,2017-01-21 21:58:35,DF,brasilia
28,0011805441c0d1b68b48002f1d005526,2017-04-24 13:36:48,PA,goianesia do para
29,0011857aff0e5871ce5eb429f21cdaf5,2017-06-28 11:08:38,SP,santo andre
30,0011c98589159d6149979563c504cb21,2017-08-05 14:08:47,MG,campos altos
31,0012929d977a8d7280bb277c1e5f589d,2017-10-17 15:46:36,RS,canoas
32,0014a5a58da615f7b01a4f5e194bf5ea,2018-01-18 20:49:36,SP,sao paulo
33,0015752e079902b12cd00b9b7596276b,2018-08-02 18:23:51,SP,sao paulo
34,00172711b30d52eea8b313a7f2cced02,2018-07-28 00:23:49,BA,jequie
35,00191a9719ef48ebb5860b130347bf33,2017-04-19 11:32:09,SP,jarinu
36,001926cef41060fae572e2e7b30bd2a4,2017-08-17 12:55:47,MT,nova canaa do norte
37,001928b561575b2821c92254a2327d06,2018-08-24 21:17:00,SP,sao paulo
38,00196c4c9a3af7dd2ad10eade69c926f,2018-07-28 09:29:12,SP,vinhedo
39,00196fdb2bf9edfc35e88ebfbcf8d781,2018-02-22 19:06:44,RS,canoas
40,0019da6aa6bcb27cc32f1249bd12da05,2018-02-11 00:55:30,SP,limeira
41,0019e8c501c85848ac0966d45226fa1d,2018-05-01 09:25:32,MT,cuiaba
42,001a2bf0e46c684031af91fb2bce149d,2017-06-29 22:43:49,SP,sao paulo
43,001a34eb30ecb8e3aacb07c475ca4dd1,2018-07-11 19:49:54,SP,sao paulo
44,001a3a8e11d76c9a366c31a4aa2cc529,2018-05-21 01:24:25,RS,porto alegre
45,001ae44fa04911a9e9577356dce6c63c,2017-11-06 17:35:49,SP,sao caetano do sul
46,001ae5a1788703d64536c30362503e49,2017-12-08 11:32:44,RJ,volta redonda
47,001deb796b28a3a128d6113857569aa4,2018-06-22 16:07:29,RJ,rio de janeiro
48,001f3c4211216384d5fe59b041ce1461,2017-03-19 18:34:36,SP,sao paulo
49,002043098f10ba39a4600b6c52fbfe3c,2017-03-26 16:45:59,SE,aracaju
50,002311514717ca8b65b09a26cdf7b91a,2018-06-27 11:34:34,SP,guarulhos
51,0023557a94bef0038066b5d1b3dc763e,2018-03-28 19:53:14,SP,potirendaba
52,002471155ecd08d208d1376720e2a907,2018-08-08 20:36:30,SC,itajai
53,00256bf7b05c08f6a5849df3d0a64f1f,2018-06-01 17:41:18,SP,sao paulo
54,0025795df7a7d077c4c90162fa820085,2018-07-24 11:09:11,SP,sao paulo
55,0027324a96d26a2bc7d69262f83c8403,2018-03-25 11:51:37,SP,sao jose dos campos
56,0028a7d8db7b0247652509358ad8d755,2017-12-13 15:49:39,SP,valinhos
57,0028cfeb9dfcd3628a56d5b6400deef5,2018-01-07 00:12:45,SP,serrana
58,00293787e2aec37a9c253b63fdfe2049,2017-10-27 14:25:35,RJ,rio de janeiro
59,0029bd580d3012618731f5abb174a07f,2017-11-02 13:24:21,SP,sao paulo
60,002aba8c1af80acacef6e011f9f23262,2018-02-27 12:47:48,RJ,mangaratiba
61,002ae492472e45ad6ebeb7a625409392,2017-10-08 23:56:02,DF,brasilia
62,002b4cd83fabaffaa475f78ea5ef3e08,2017-02-01 13:53:16,MG,sao sebastiao do paraiso
63,002bdeb33da5b1b3ce8b9c822f749c82,2017-12-05 19:04:42,SC,palhoca
64,002cdf87d4c03f08f7eb4551a923affc,2017-10-31 17:32:22,SP,hortolandia
65,002d3bd901608f67c3fc11eaaa842b13,2018-01-15 18:39:36,SP,santo andre
66,002d71b244beb91ca7030b15ab526446,2017-05-22 22:24:51,SP,santa cruz do rio pardo
67,002da6dde369f6a8b4c999ed61eb5a87,2018-04-12 11:03:44,SP,sao paulo
68,002eb8b96288f3804e21d2777ac29895,2017-07-22 13:24:06,MG,betim
69,002ed12115742033f015cb3c269ccf68,2018-01-30 13:50:27,SP,santo andre
70,002ef00822613c94613e60e03b169fef,2018-02-14 20:56:34,PR,pitanga
71,002feefec5af0a3b26ee7839c66d205e,2017-10-29 12:19:51,RJ,rio de janeiro
72,003035f5ec76f2220098377482de93c9,2017-08-28 21:35:08,MG,divinopolis
73,003162bf0351f47a1a247992b8b9b42d,2018-07-14 15:45:27,ES,serra
74,00324c9f4d710e7bac5c5ba679714430,2017-06-21 20:40:38,TO,paraiso do tocantins
75,0032c76b20340da25249092a268ce66c,2016-10-06 11:32:00,SP,charqueada
76,0032ca69771a7758ce643258bb9e4ac7,2018-07-16 15:32:50,SP,sao paulo
77,0033f4a2887e07e25aa1204d482f41ba,2018-06-26 01:07:23,BA,salvador
78,00344274804f3b8003de1b0562ae01df,2018-07-09 14:09:25,PE,afranio
79,0034c76b7e6a17d738375b99afc2f01e,2018-05-07 16:17:00,MG,paraisopolis
80,0035029989e6fc5cf030918a5f9f2037,2018-05-12 14:28:16,SP,sao paulo
81,003650b504826ea534e02eba0ab58dd5,2018-01-17 12:03:01,SP,sao paulo
82,0036a074f98b80c4f1fc33dbbcf9c552,2017-05-12 09:24:26,RS,santa rosa
83,0036b4a3d09ad551a5188c2e374da402,2017-08-09 16:14:49,PR,maringa
84,0036d365b138cc0ee06bed755bcb5044,2018-01-31 14:41:00,BA,pindobacu
85,00370dfde3d012c420d29657afc2fc8b,2018-01-29 12:54:38,RS,candelaria
86,00377a18050b898b93e2c774be9947db,2017-11-25 13:40:05,MT,cuiaba
87,0037aa56b017c105c3a9d47af71fff98,2018-01-26 16:52:56,MG,belo horizonte
88,0037d2bbb9ebc39d9114aea27ee16d72,2017-03-27 12:24:28,SP,sao paulo
89,0037eb1ff742ee2e71ba887f65f3c6f3,2017-07-13 09:00:21,PE,jaboatao dos guararapes
90,003800162424b7b5b3d75c9cf22a66e7,2018-04-01 21:29:34,BA,feira de santana
91,00391594070baf8603f5fdc1d0c6a48c,2018-08-05 20:33:28,SP,aracatuba
92,003a5571a07dcf09bf117d13d2980ba3,2018-07-25 10:57:54,BA,salvador
93,003a7a8eb096ed3cbf713d2def1ca701,2018-08-14 14:23:59,MA,sao domingos do maranhao
94,003ac9408252444b489b1bfc013f5f8c,2018-03-16 17:56:52,SP,tapirai
95,003ae409f37c3c30cb1c974af3a42692,2018-08-15 11:37:45,MG,lagoa santa
96,003c2067070f5b3d923235b1ea1cc17b,2018-08-06 16:01:58,CE,aiuaba
97,003c457932a554e4df13834237b1ed00,2018-01-05 10:23:18,SP,sorocaba
98,003d56767e53e08671de00da3fba8d40,2017-12-01 12:48:21,MG,itajuba
99,003db7adfcdc49857b095a50191b6c9d,2018-05-02 12:41:41,SP,suzano
100,003e28cb6fab8a0901bff9229612375f,2017-03-13 14:54:17,PR,curitiba
101,003e2af81ea3c72fbdd093f07724a4de,2018-04-16 20:59:52,SP,sao paulo
102,003f4901fdb60ae9c1e2538b84c208e1,2017-11-19 20:22:47,DF,brasilia
103,003fb95e849e71e732629d94bb92762f,2018-07-30 10:37:15,SP,bebedouro
104,003fee4ca17927283128c7ddc6f9311b,2018-05-08 13:08:34,RJ,nova friburgo
105,004177f7bf62929186b32c7fdaa6157b,2017-10-19 16:07:11,RJ,rio de janeiro
106,004256f082951ec189a4962b6788c214,2018-03-23 11:37:58,SP,sao paulo
107,004288347e5e88a27ded2bb23747066c,2017-07-27 14:13:03,RJ,nova iguacu
